company_id,complaint_category,complaint_count
C003,battery,1324
C006,battery,1317
C007,battery,1304
C002,battery,1289
C001,battery,1272
C010,battery,1242
C004,battery,1233
C005,battery,1220
C008,battery,1207
C009,battery,1157
C002,quality,1070
C003,quality,1046
C007,quality,1037
C001,quality,1014
C004,quality,990
C010,quality,982
C005,quality,969
C006,quality,969
C008,quality,959
C009,quality,952
C007,performance,806
C003,performance,797
C002,performance,788
C001,performance,786
C006,performance,774
C008,performance,747
C010,performance,722
C009,performance,717
C005,performance,709
C004,performance,700
C007,comfort,549
C001,price,534
C007,price,532
C010,comfort,528
C006,price,522
C002,software,520
C007,delivery,520
C001,delivery,519
C007,software,519
C004,comfort,518
C003,comfort,518
C002,price,517
C001,software,517
C003,software,517
C001,comfort,513
C006,comfort,513
C003,delivery,512
C003,price,509
C010,software,508
C009,price,503
C006,delivery,502
C005,software,502
C009,comfort,495
C005,delivery,492
C002,delivery,492
C008,software,492
C002,comfort,491
C008,delivery,488
C004,price,481
C004,software,477
C008,price,475
C010,price,474
C009,software,474
C006,software,474
C010,delivery,468
C008,comfort,458
C009,delivery,451
C004,delivery,447
C005,comfort,443
C005,price,437
