customer_id,company_id,age_group,gender,location,income_segment,customer_segment,registration_date,loyalty_level,total_orders,total_quantity,total_spend,average_discount,customer_value
CUST00001,C002,36-45,Male,Germany,Medium,High Value,2020-04-12,New,11.0,21.0,340239.35,0.07727272727272727,3742632.8499999996
CUST00002,C010,18-25,Male,USA,Medium,High Value,2024-09-24,New,13.0,27.0,274253.2,0.07692307692307693,3565291.6
CUST00003,C009,56+,Female,Germany,Premium,Frequent Buyer,2022-03-25,Loyal,9.0,21.0,172962.5,0.12222222222222223,1556662.5
CUST00004,C001,46-55,Female,Canada,Medium,High Value,2021-10-15,Loyal,10.0,23.0,177611.5,0.11000000000000001,1776115.0
CUST00005,C002,46-55,Male,Japan,High,High Value,2021-01-14,Loyal,12.0,21.0,322202.25,0.09999999999999999,3866427.0
CUST00006,C001,56+,Male,Singapore,Low,High Value,2025-02-24,Loyal,14.0,25.0,346746.3,0.06071428571428572,4854448.2
CUST00007,C010,56+,Male,USA,Low,High Value,2024-01-21,Loyal,11.0,20.0,297663.35,0.06818181818181818,3274296.8499999996
CUST00008,C002,18-25,Female,Canada,Premium,High Value,2022-08-11,Regular,10.0,17.0,259446.95,0.095,2594469.5
CUST00009,C006,26-35,Other,Canada,Low,Premium Loyal,2023-12-26,Regular,16.0,35.0,363622.55,0.109375,5817960.8
CUST00010,C009,26-35,Female,Singapore,High,Frequent Buyer,2022-09-29,Regular,8.0,17.0,220193.85,0.10625,1761550.8
CUST00011,C006,26-35,Male,Japan,Premium,Frequent Buyer,2020-08-17,New,8.0,17.0,211706.35,0.10625,1693650.8
CUST00012,C004,36-45,Male,South Korea,Premium,Regular Buyer,2026-05-12,Regular,4.0,8.0,114001.25,0.1,456005.0
CUST00013,C005,26-35,Other,Canada,Premium,Premium Loyal,2021-07-25,VIP,16.0,31.0,371049.7,0.075,5936795.2
CUST00014,C006,26-35,Other,South Korea,Low,Frequent Buyer,2022-06-17,New,8.0,14.0,167348.05,0.13125,1338784.4
CUST00015,C003,46-55,Other,USA,Premium,High Value,2021-10-17,VIP,12.0,24.0,231309.8,0.06666666666666667,2775717.5999999996
CUST00016,C009,56+,Male,USA,High,High Value,2022-10-26,New,12.0,24.0,338032.75,0.07916666666666668,4056393.0
CUST00017,C005,26-35,Female,India,High,Frequent Buyer,2024-11-15,Regular,9.0,19.0,251444.75,0.07777777777777778,2263002.75
CUST00018,C009,36-45,Other,Germany,Medium,High Value,2021-03-11,Regular,14.0,28.0,317962.25,0.125,4451471.5
CUST00019,C009,18-25,Other,Japan,Premium,Premium Loyal,2025-12-12,New,17.0,35.0,447882.8,0.1323529411764706,7614007.6
CUST00020,C006,26-35,Male,Germany,Low,Regular Buyer,2023-06-13,VIP,7.0,14.0,150324.4,0.09285714285714286,1052270.8
CUST00021,C002,26-35,Male,South Korea,Medium,Regular Buyer,2025-12-21,VIP,6.0,16.0,155696.15000000002,0.08333333333333333,934176.9000000001
CUST00022,C004,26-35,Other,Canada,Premium,Frequent Buyer,2026-01-17,VIP,9.0,20.0,221439.45,0.06666666666666667,1992955.05
CUST00023,C009,18-25,Male,Germany,Low,Regular Buyer,2025-01-23,New,6.0,14.0,126326.35,0.06666666666666667,757958.1000000001
CUST00024,C010,26-35,Other,Germany,Low,Frequent Buyer,2026-03-18,New,9.0,21.0,252032.15,0.07777777777777778,2268289.35
CUST00025,C004,18-25,Female,USA,Medium,Frequent Buyer,2020-10-03,VIP,8.0,13.0,200083.6,0.125,1600668.8
CUST00026,C004,26-35,Other,South Korea,Medium,Regular Buyer,2026-01-17,VIP,5.0,10.0,97503.65,0.13999999999999999,487518.25
CUST00027,C004,18-25,Other,Singapore,High,Frequent Buyer,2021-01-21,VIP,8.0,16.0,204059.3,0.06875,1632474.4
CUST00028,C008,18-25,Male,Singapore,High,High Value,2020-08-09,Regular,11.0,19.0,263200.1,0.09545454545454546,2895201.0999999996
CUST00029,C004,56+,Female,UK,Premium,Frequent Buyer,2022-02-18,Loyal,8.0,14.0,173505.44999999998,0.1125,1388043.5999999999
CUST00030,C008,18-25,Female,USA,Low,High Value,2022-10-20,New,11.0,21.0,203854.0,0.09545454545454546,2242394.0
CUST00031,C002,26-35,Female,South Korea,Premium,Regular Buyer,2022-08-26,VIP,4.0,6.0,149835.8,0.025,599343.2
CUST00032,C001,46-55,Male,Singapore,High,Frequent Buyer,2021-11-05,Loyal,8.0,16.0,247801.4,0.09375,1982411.2
CUST00033,C007,46-55,Male,Germany,High,High Value,2026-03-26,New,10.0,20.0,258017.44999999998,0.13,2580174.5
CUST00034,C010,18-25,Other,Japan,Low,High Value,2026-01-29,VIP,11.0,22.0,181883.85,0.09090909090909091,2000722.35
CUST00035,C009,26-35,Male,USA,Medium,Regular Buyer,2025-12-15,New,4.0,8.0,144906.25,0.075,579625.0
CUST00036,C004,18-25,Other,Germany,Low,High Value,2024-07-11,New,10.0,19.0,253429.7,0.06000000000000001,2534297.0
CUST00037,C007,56+,Other,Japan,High,Frequent Buyer,2026-07-18,Loyal,8.0,17.0,179830.15,0.15,1438641.2
CUST00038,C004,46-55,Male,Canada,Premium,High Value,2022-12-23,New,13.0,25.0,244163.4,0.09615384615384616,3174124.1999999997
CUST00039,C001,56+,Other,USA,Low,High Value,2025-02-20,Regular,11.0,23.0,306458.3,0.11363636363636363,3371041.3
CUST00040,C009,26-35,Female,USA,Medium,Frequent Buyer,2022-12-22,Loyal,8.0,14.0,178680.55,0.13125,1429444.4
CUST00041,C003,56+,Other,Canada,Low,Frequent Buyer,2024-11-29,Loyal,8.0,17.0,144929.75,0.125,1159438.0
CUST00042,C002,36-45,Male,USA,Medium,Regular Buyer,2021-07-04,Loyal,7.0,14.0,134718.6,0.049999999999999996,943030.2000000001
CUST00043,C010,36-45,Male,Canada,Premium,High Value,2022-05-12,New,11.0,24.0,218735.8,0.07272727272727274,2406093.8
