product_id,product_name,category,complaint_count
P0292,Smart Fan 292,Home Appliances,132
P0110,Smart Ring 110,Wearables,132
P0019,Fitness Watch 19,Watches,129
P0296,Headphones 296,Audio,127
P0056,Analog Watch 56,Watches,125
P0085,Fitness Band 85,Wearables,124
P0139,Analog Watch 139,Watches,123
P0142,Smart Fan 142,Home Appliances,123
P0341,Smart Watch 341,Watches,123
P0485,Smart Watch 485,Watches,123
P0266,Headphones 266,Audio,123
P0181,Smart Light 181,Home Appliances,121
P0018,Smart Ring 18,Wearables,121
P0347,Smartphone 347,Mobile,121
P0459,Smart Watch 459,Watches,121
P0009,Wireless Earbuds 9,Audio,121
P0125,Air Purifier 125,Home Appliances,120
P0419,Fitness Band 419,Wearables,119
P0474,Bluetooth Speaker 474,Audio,119
P0118,Bluetooth Speaker 118,Audio,119
P0188,Headphones 188,Audio,119
P0084,Fitness Band 84,Wearables,119
P0397,Fitness Band 397,Wearables,117
P0479,Fitness Watch 479,Watches,117
P0145,Fitness Band 145,Wearables,117
P0160,Smart Fan 160,Home Appliances,117
P0350,Analog Watch 350,Watches,117
P0275,Tablet 275,Mobile,117
P0083,Air Purifier 83,Home Appliances,117
P0235,Smartphone 235,Mobile,116
P0041,Headphones 41,Audio,116
P0200,Bluetooth Speaker 200,Audio,116
P0094,Smart Ring 94,Wearables,116
P0421,Air Purifier 421,Home Appliances,116
P0453,Smartphone 453,Mobile,116
P0107,Analog Watch 107,Watches,115
P0087,Tablet 87,Mobile,115
P0305,Fitness Band 305,Wearables,115
P0316,Wireless Earbuds 316,Audio,115
P0348,Analog Watch 348,Watches,115
P0318,Bluetooth Speaker 318,Audio,115
P0337,Analog Watch 337,Watches,115
P0253,Bluetooth Speaker 253,Audio,114
P0279,Tablet 279,Mobile,114
P0328,Smartphone 328,Mobile,114
P0343,Tablet 343,Mobile,114
P0106,Bluetooth Speaker 106,Audio,114
P0097,Fitness Watch 97,Watches,114
P0033,Smart Watch 33,Watches,114
P0111,Smartphone 111,Mobile,114
P0481,Bluetooth Speaker 481,Audio,114
P0339,Wireless Earbuds 339,Audio,114
P0333,Smart Light 333,Home Appliances,114
P0184,Smart Ring 184,Wearables,114
P0035,Smartphone 35,Mobile,113
P0330,Smart Watch 330,Watches,113
P0219,Smart Ring 219,Wearables,113
P0465,Fitness Band 465,Wearables,113
P0273,Smart Ring 273,Wearables,113
P0408,Smartphone 408,Mobile,113
P0393,Analog Watch 393,Watches,113
P0192,Bluetooth Speaker 192,Audio,113
P0115,Air Purifier 115,Home Appliances,112
P0146,Air Purifier 146,Home Appliances,112
P0451,Bluetooth Speaker 451,Audio,112
P0042,Smart Watch 42,Watches,112
P0340,Fitness Band 340,Wearables,112
P0369,Air Purifier 369,Home Appliances,112
P0201,Fitness Band 201,Wearables,112
P0372,Smart Watch 372,Watches,112
P0185,Smart Ring 185,Wearables,112
P0320,Smart Ring 320,Wearables,112
P0045,Smart Ring 45,Wearables,112
