product_id,complaint_category,complaint_count
P0239,battery,40
P0118,battery,40
P0341,battery,39
P0473,battery,38
P0276,battery,38
P0411,battery,38
P0097,battery,37
P0477,battery,37
P0111,quality,37
P0219,battery,36
P0275,battery,36
P0198,battery,36
P0051,battery,36
P0308,battery,36
P0273,battery,35
P0348,battery,35
P0048,battery,35
P0363,battery,35
P0090,battery,35
P0084,battery,35
P0484,battery,35
P0496,battery,34
P0155,quality,34
P0148,battery,34
P0225,quality,34
P0020,battery,34
P0263,battery,34
P0211,battery,34
P0468,battery,34
P0481,battery,34
P0089,battery,34
P0326,battery,34
P0210,battery,33
P0492,battery,33
P0176,battery,33
P0372,battery,33
P0277,battery,33
P0293,battery,33
P0019,battery,33
P0419,battery,33
P0194,battery,33
P0305,battery,33
P0187,battery,32
P0343,battery,32
P0217,battery,32
P0137,battery,32
P0124,battery,32
P0074,battery,32
P0150,battery,32
P0200,quality,32
P0185,battery,32
P0338,battery,31
P0235,battery,31
P0164,battery,31
P0426,battery,31
P0250,battery,31
P0112,battery,31
P0109,battery,31
P0032,battery,31
P0214,battery,31
P0201,battery,31
P0145,battery,31
P0392,battery,31
P0294,battery,31
P0296,battery,31
P0188,battery,31
P0269,battery,31
P0296,quality,31
P0093,battery,31
P0095,battery,31
P0017,battery,31
P0387,battery,31
P0390,battery,31
P0315,battery,31
P0318,battery,31
P0092,battery,31
P0199,battery,31
P0107,quality,31
P0056,quality,30
P0099,quality,30
P0005,battery,30
P0337,battery,30
P0179,battery,30
P0394,battery,30
P0110,battery,30
P0111,battery,30
P0266,battery,30
P0412,battery,30
P0003,quality,30
P0499,battery,30
P0244,battery,30
P0029,battery,30
P0138,battery,30
P0272,battery,30
P0108,battery,30
P0139,battery,30
P0191,battery,30
P0091,quality,30
P0323,battery,30
P0063,battery,30
P0117,battery,30
P0121,battery,30
P0350,quality,29
P0002,battery,29
P0083,battery,29
P0080,battery,29
P0479,quality,29
P0330,battery,29
P0105,quality,29
P0470,battery,29
P0466,battery,29
P0395,battery,29
P0385,battery,29
P0297,quality,29
P0295,battery,29
P0192,battery,29
P0302,battery,29
P0319,battery,29
P0365,battery,29
P0065,battery,29
P0067,quality,29
P0313,battery,29
P0373,battery,29
P0304,battery,29
P0042,battery,29
P0044,quality,29
P0455,battery,29
P0283,battery,29
P0046,battery,29
P0398,battery,29
P0045,battery,29
P0110,performance,29
P0038,battery,29
P0037,quality,29
P0451,battery,29
P0259,battery,29
P0040,battery,29
P0039,battery,29
P0125,battery,29
P0136,battery,29
P0075,battery,28
P0076,battery,28
P0375,battery,28
P0001,battery,28
P0333,quality,28
P0056,battery,28
P0147,quality,28
P0123,battery,28
P0173,battery,28
P0439,battery,28
P0445,battery,28
P0078,quality,28
P0266,quality,28
P0306,quality,28
P0119,battery,28
P0184,quality,28
P0317,battery,28
P0397,battery,28
P0500,battery,28
P0289,battery,28
P0079,battery,28
P0174,battery,28
P0312,battery,28
P0459,battery,28
P0106,battery,28
P0391,battery,28
P0406,quality,28
P0408,battery,28
P0297,battery,28
P0300,battery,28
P0299,battery,28
P0298,battery,28
P0088,battery,28
P0087,battery,28
P0054,quality,28
P0383,battery,28
P0114,battery,28
P0453,quality,28
P0218,battery,28
P0139,quality,28
P0085,performance,28
P0330,performance,28
P0332,battery,28
P0258,battery,28
P0406,battery,27
P0039,quality,27
P0320,battery,27
P0066,battery,27
P0147,battery,27
P0059,quality,27
P0151,battery,27
P0374,quality,27
P0072,battery,27
P0126,battery,27
P0058,battery,27
P0185,quality,27
P0036,battery,27
P0172,battery,27
P0132,battery,27
P0234,battery,27
P0241,battery,27
P0424,battery,27
P0033,battery,27
P0242,quality,27
P0094,performance,27
P0252,battery,27
P0120,battery,27
P0353,battery,27
P0409,battery,27
P0043,battery,27
P0202,battery,27
P0149,battery,27
P0201,quality,27
P0208,battery,27
P0047,battery,27
P0022,battery,27
P0315,quality,27
P0479,battery,27
P0459,quality,27
P0213,quality,27
P0222,quality,27
P0329,battery,27
P0221,battery,27
P0257,battery,27
P0328,battery,27
P0260,battery,27
P0165,battery,27
P0049,battery,27
P0168,battery,27
P0497,battery,27
P0498,quality,27
P0167,battery,27
P0485,quality,26
P0347,battery,26
P0485,battery,26
P0156,battery,26
P0490,battery,26
P0106,quality,26
P0288,battery,26
P0393,quality,26
P0488,battery,26
P0333,battery,26
P0125,quality,26
P0437,quality,26
P0028,battery,26
P0228,battery,26
P0237,battery,26
P0240,battery,26
P0133,quality,26
P0127,quality,26
P0433,battery,26
P0248,battery,26
P0226,quality,26
P0190,quality,26
P0184,battery,26
P0057,quality,26
P0073,battery,26
P0160,battery,26
P0162,battery,26
P0393,battery,26
P0463,battery,26
P0457,quality,26
P0480,battery,26
P0012,battery,26
P0101,battery,26
P0292,battery,26
P0061,battery,26
P0453,battery,26
P0085,battery,26
P0041,battery,26
P0291,quality,26
P0284,battery,26
P0430,battery,26
P0206,battery,26
P0141,quality,26
P0358,battery,26
P0055,battery,26
P0382,battery,26
P0270,battery,26
P0461,battery,26
P0183,battery,26
P0018,battery,26
P0376,battery,25
P0350,battery,25
P0071,quality,25
P0428,quality,25
P0429,battery,25
P0120,quality,25
P0055,quality,25
P0094,battery,25
P0351,battery,25
P0255,battery,25
P0253,battery,25
P0035,quality,25
P0127,battery,25
P0435,battery,25
P0029,quality,25
P0169,quality,25
P0077,performance,25
P0030,battery,25
P0495,battery,25
P0225,battery,25
P0075,quality,25
P0305,quality,25
P0080,quality,25
P0427,battery,25
P0221,quality,25
P0026,battery,25
P0261,battery,25
P0267,battery,25
P0216,battery,25
P0452,battery,25
P0405,quality,25
P0461,performance,25
P0322,battery,25
P0142,battery,25
P0325,battery,25
P0102,battery,25
P0366,battery,25
P0070,battery,25
P0328,performance,25
P0415,battery,25
P0420,quality,25
P0265,battery,25
P0182,battery,25
P0314,battery,25
P0200,battery,25
P0458,battery,25
P0203,battery,25
P0471,battery,25
P0010,battery,25
P0291,performance,25
P0460,battery,25
P0008,battery,25
P0286,battery,25
P0281,battery,25
P0003,battery,25
P0009,battery,25
P0162,quality,25
P0343,quality,25
P0005,quality,25
P0166,battery,25
P0499,quality,25
P0495,quality,25
P0164,quality,24
P0009,quality,24
P0008,quality,24
P0074,quality,24
P0491,quality,24
P0006,quality,24
P0158,battery,24
P0287,quality,24
P0050,battery,24
P0465,quality,24
P0016,battery,24
P0100,battery,24
P0053,battery,24
P0389,quality,24
P0104,battery,24
P0181,battery,24
P0153,battery,24
P0009,software,24
P0311,quality,24
P0462,battery,24
P0144,quality,24
P0144,battery,24
P0397,quality,24
P0402,battery,24
P0271,battery,24
P0407,battery,24
P0321,battery,24
P0365,quality,24
P0310,quality,24
P0368,battery,24
P0367,battery,24
P0098,quality,24
P0197,quality,24
P0196,battery,24
P0324,battery,24
P0413,battery,24
P0268,battery,24
P0417,battery,24
P0082,battery,24
P0084,quality,24
P0135,battery,24
P0222,battery,24
P0025,battery,24
P0450,battery,24
P0448,battery,24
P0023,battery,24
P0115,performance,24
P0183,quality,24
P0303,battery,24
P0055,performance,24
P0422,battery,24
P0349,battery,24
P0081,battery,24
P0433,performance,24
P0135,quality,24
P0440,battery,24
P0437,battery,24
P0237,quality,24
P0130,battery,24
P0129,quality,24
P0442,battery,24
P0227,battery,24
P0226,battery,24
P0374,battery,24
P0096,battery,24
P0013,quality,24
P0474,performance,24
P0073,quality,24
P0490,quality,23
P0347,quality,23
P0002,quality,23
P0340,battery,23
P0340,quality,23
P0341,quality,23
P0342,battery,23
P0344,battery,23
P0072,quality,23
P0157,battery,23
P0474,battery,23
P0307,quality,23
P0310,battery,23
P0377,battery,23
P0057,battery,23
P0379,quality,23
P0301,battery,23
P0186,battery,23
P0097,quality,23
P0383,quality,23
P0368,quality,23
P0370,quality,23
P0313,performance,23
P0177,battery,23
P0476,battery,23
P0292,delivery,23
P0293,quality,23
P0191,quality,23
P0146,performance,23
P0285,quality,23
