product_id,product_name,category,subcategory,price,rating,total_sales,return_rate,complaint_count,negative_percentage,average_rating,demand_score,problem_score,negative_review_score,demand_problem_score,demand_problem_category
P0316,Wireless Earbuds 316,Audio,Wireless Earbuds,3317,4.8,97580,0.102,115,26.61,3.26,98.4,87.12,26.61,80.09,High Demand + High Problem
P0235,Smartphone 235,Mobile,Smartphone,30477,3.4,95472,0.126,116,24.24,3.38,96.27,87.88,24.24,78.93,High Demand + High Problem
P0075,Fitness Watch 75,Watches,Fitness Watch,20145,3.4,99169,0.079,105,29.73,3.23,100.0,79.55,29.73,78.79,High Demand + High Problem
P0010,Smart Light 10,Home Appliances,Smart Light,31071,3.4,98147,0.089,110,23.96,3.46,98.97,83.33,23.96,78.49,High Demand + High Problem
P0347,Smartphone 347,Mobile,Smartphone,42693,3.4,93425,0.104,121,19.35,3.57,94.21,91.67,19.35,78.35,High Demand + High Problem
P0338,Wireless Earbuds 338,Audio,Wireless Earbuds,17243,3.7,97107,0.018,109,21.0,3.34,97.92,82.58,21.0,77.17,High Demand + High Problem
P0483,Smartphone 483,Mobile,Smartphone,38598,4.8,90036,0.14,110,35.19,3.22,90.79,83.33,35.19,77.06,High Demand + High Problem
P0099,Bluetooth Speaker 99,Audio,Bluetooth Speaker,45852,4.9,98380,0.023,108,18.8,3.52,99.2,81.82,18.8,77.04,High Demand + High Problem
P0230,Smart Watch 230,Watches,Smart Watch,34023,3.6,96381,0.091,111,19.35,3.51,97.19,84.09,19.35,77.04,High Demand + High Problem
P0273,Smart Ring 273,Wearables,Smart Ring,23826,3.9,91826,0.073,113,26.17,3.36,92.6,85.61,26.17,76.86,High Demand + High Problem
P0419,Fitness Band 419,Wearables,Fitness Band,14165,4.4,90495,0.058,119,21.05,3.36,91.25,90.15,21.05,76.83,High Demand + High Problem
P0293,Smart Fan 293,Home Appliances,Smart Fan,39139,4.5,96539,0.023,104,25.66,3.45,97.35,78.79,25.66,76.51,High Demand + High Problem
P0242,Smart Light 242,Home Appliances,Smart Light,43054,4.0,96545,0.121,106,22.73,3.47,97.35,80.3,22.73,76.46,High Demand + High Problem
P0047,Smart Fan 47,Home Appliances,Smart Fan,29977,4.1,96963,0.034,99,30.59,3.21,97.78,75.0,30.59,76.37,High Demand + High Problem
P0256,Smartphone 256,Mobile,Smartphone,25903,4.3,97448,0.065,102,24.07,3.35,98.26,77.27,24.07,76.08,High Demand + High Problem
P0165,Bluetooth Speaker 165,Audio,Bluetooth Speaker,44063,4.5,96862,0.116,106,19.39,3.51,97.67,80.3,19.39,75.94,High Demand + High Problem
P0339,Wireless Earbuds 339,Audio,Wireless Earbuds,16502,4.6,91939,0.06,114,19.3,3.56,92.71,86.36,19.3,75.81,High Demand + High Problem
P0094,Smart Ring 94,Wearables,Smart Ring,30841,4.7,91922,0.043,116,15.29,3.59,92.69,87.88,15.29,75.53,High Demand + High Problem
P0123,Smart Watch 123,Watches,Smart Watch,19023,4.2,93843,0.056,111,17.27,3.53,94.63,84.09,17.27,75.47,High Demand + High Problem
P0473,Analog Watch 473,Watches,Analog Watch,15533,4.2,95460,0.064,103,22.58,3.4,96.26,78.03,22.58,75.14,High Demand + High Problem
P0345,Tablet 345,Mobile,Tablet,9345,3.2,92513,0.143,101,31.63,3.14,93.29,76.52,31.63,75.09,High Demand + High Problem
P0492,Smart Ring 492,Wearables,Smart Ring,25961,4.6,97302,0.031,101,20.0,3.53,98.12,76.52,20.0,74.93,High Demand + High Problem
P0474,Bluetooth Speaker 474,Audio,Bluetooth Speaker,33398,3.5,86599,0.14,119,20.19,3.47,87.32,90.15,20.19,74.89,High Demand + High Problem
P0312,Smart Watch 312,Watches,Smart Watch,33532,4.1,94972,0.046,103,22.4,3.52,95.77,78.03,22.4,74.89,High Demand + High Problem
P0237,Tablet 237,Mobile,Tablet,2004,3.5,97686,0.026,98,22.47,3.39,98.5,74.24,22.47,74.81,High Demand + High Problem
P0055,Smart Watch 55,Watches,Smart Watch,28534,4.5,91663,0.013,107,23.14,3.37,92.43,81.06,23.14,74.59,High Demand + High Problem
P0105,Fitness Watch 105,Watches,Fitness Watch,26939,4.2,90389,0.119,107,23.64,3.32,91.15,81.06,23.64,74.12,High Demand + High Problem
P0413,Smart Watch 413,Watches,Smart Watch,11758,4.6,97822,0.111,91,27.37,3.23,98.64,68.94,27.37,73.99,Moderate
P0485,Smart Watch 485,Watches,Smart Watch,6143,4.3,80955,0.011,123,22.94,3.42,81.63,93.18,22.94,73.94,High Demand + High Problem
P0466,Smart Fan 466,Home Appliances,Smart Fan,23971,4.5,91818,0.091,99,28.57,3.25,92.59,75.0,28.57,73.63,High Demand + High Problem
P0291,Wireless Earbuds 291,Audio,Wireless Earbuds,47621,3.6,89135,0.065,110,19.8,3.49,89.88,83.33,19.8,73.57,High Demand + High Problem
P0297,Smartphone 297,Mobile,Smartphone,43899,3.3,87598,0.137,108,25.61,3.23,88.33,81.82,25.61,73.51,High Demand + High Problem
P0374,Headphones 374,Audio,Headphones,43702,3.2,89917,0.011,107,21.52,3.42,90.67,81.06,21.52,73.48,High Demand + High Problem
P0177,Wireless Earbuds 177,Audio,Wireless Earbuds,9895,4.0,94002,0.072,97,23.85,3.24,94.79,73.48,23.85,73.15,High Demand + High Problem
P0400,Analog Watch 400,Watches,Analog Watch,24607,3.7,97301,0.026,94,20.0,3.47,98.12,71.21,20.0,73.08,High Demand + High Problem
P0069,Headphones 69,Audio,Headphones,17931,4.7,92405,0.133,99,23.81,3.5,93.18,75.0,23.81,72.94,High Demand + High Problem
P0225,Smart Fan 225,Home Appliances,Smart Fan,25739,4.4,87242,0.132,106,25.77,3.45,87.97,80.3,25.77,72.85,High Demand + High Problem
P0375,Headphones 375,Audio,Headphones,40868,3.7,93478,0.1,95,25.84,3.58,94.26,71.97,25.84,72.77,High Demand + High Problem
P0491,Tablet 491,Mobile,Tablet,12789,4.9,90416,0.042,106,18.0,3.53,91.17,80.3,18.0,72.73,High Demand + High Problem
P0388,Smart Fan 388,Home Appliances,Smart Fan,26121,4.1,96268,0.062,97,16.48,3.36,97.07,73.48,16.48,72.7,High Demand + High Problem
P0283,Headphones 283,Audio,Headphones,37803,4.0,90244,0.079,102,22.13,3.39,91.0,77.27,22.13,72.42,High Demand + High Problem
P0064,Fitness Band 64,Wearables,Fitness Band,7678,3.7,90187,0.094,98,26.6,3.44,90.94,74.24,26.6,72.23,High Demand + High Problem
P0471,Bluetooth Speaker 471,Audio,Bluetooth Speaker,8804,4.0,92160,0.143,95,26.13,3.33,92.93,71.97,26.13,72.23,High Demand + High Problem
P0280,Smartphone 280,Mobile,Smartphone,16635,3.5,91390,0.03,102,18.1,3.52,92.16,77.27,18.1,72.14,High Demand + High Problem
P0001,Smart Watch 1,Watches,Smart Watch,49598,3.6,97030,0.024,91,19.59,3.53,97.84,68.94,19.59,72.08,Moderate
P0062,Tablet 62,Mobile,Tablet,11996,4.8,94656,0.026,92,22.94,3.4,95.45,69.7,22.94,71.93,Moderate
P0229,Smart Light 229,Home Appliances,Smart Light,45041,3.3,97564,0.016,92,16.09,3.46,98.38,69.7,16.09,71.88,Moderate
P0269,Smartphone 269,Mobile,Smartphone,43401,4.2,85045,0.105,109,21.79,3.32,85.76,82.58,21.79,71.85,High Demand + High Problem
P0198,Smart Ring 198,Wearables,Smart Ring,32122,3.8,88817,0.025,101,23.71,3.48,89.56,76.52,23.71,71.82,High Demand + High Problem
P0008,Headphones 8,Audio,Headphones,25867,4.8,90698,0.088,102,17.89,3.44,91.46,77.27,17.89,71.78,High Demand + High Problem
P0389,Fitness Watch 389,Watches,Fitness Watch,1270,3.6,91401,0.133,97,21.36,3.46,92.17,73.48,21.36,71.47,High Demand + High Problem
P0124,Smart Ring 124,Wearables,Smart Ring,7499,3.4,86314,0.101,102,26.14,3.38,87.04,77.27,26.14,71.44,High Demand + High Problem
P0356,Air Purifier 356,Home Appliances,Air Purifier,21208,4.0,87143,0.047,104,21.43,3.5,87.87,78.79,21.43,71.4,High Demand + High Problem
P0431,Bluetooth Speaker 431,Audio,Bluetooth Speaker,35766,4.2,99083,0.147,84,20.45,3.45,99.91,63.64,20.45,71.32,Moderate
P0203,Smart Light 203,Home Appliances,Smart Light,23434,4.3,94993,0.105,90,21.05,3.52,95.79,68.18,21.05,71.18,Moderate
P0113,Smart Watch 113,Watches,Smart Watch,36228,4.0,88381,0.143,97,26.37,3.37,89.12,73.48,26.37,71.1,High Demand + High Problem
P0150,Tablet 150,Mobile,Tablet,43171,4.6,88333,0.108,102,19.61,3.41,89.07,77.27,19.61,71.05,High Demand + High Problem
P0146,Air Purifier 146,Home Appliances,Air Purifier,23507,3.3,85189,0.034,112,12.9,3.65,85.9,84.85,12.9,70.93,High Demand + High Problem
P0110,Smart Ring 110,Wearables,Smart Ring,6918,3.2,70829,0.027,132,18.92,3.54,71.42,100.0,18.92,70.92,High Demand + High Problem
P0039,Bluetooth Speaker 39,Audio,Bluetooth Speaker,22770,3.9,88306,0.131,103,17.65,3.6,89.05,78.03,17.65,70.91,High Demand + High Problem
P0149,Fitness Watch 149,Watches,Fitness Watch,44490,3.8,86490,0.108,105,19.0,3.47,87.21,79.55,19.0,70.89,High Demand + High Problem
P0236,Fitness Band 236,Wearables,Fitness Band,5769,4.5,95436,0.104,85,24.74,3.44,96.24,64.39,24.74,70.79,Moderate
P0304,Bluetooth Speaker 304,Audio,Bluetooth Speaker,40387,4.2,91002,0.014,97,18.87,3.47,91.76,73.48,18.87,70.79,High Demand + High Problem
