product_id,product_name,category,main_problem,main_problem_count
P0001,Smart Watch 1,Watches,battery,28
P0002,Smart Watch 2,Watches,battery,29
P0003,Smart Light 3,Home Appliances,quality,30
P0004,Headphones 4,Audio,battery,19
P0005,Air Purifier 5,Home Appliances,battery,30
P0006,Headphones 6,Audio,quality,24
P0007,Tablet 7,Mobile,performance,20
P0008,Headphones 8,Audio,battery,25
P0009,Wireless Earbuds 9,Audio,battery,25
P0010,Smart Light 10,Home Appliances,battery,25
P0011,Smartphone 11,Mobile,quality,17
P0012,Fitness Band 12,Wearables,battery,26
P0013,Smart Ring 13,Wearables,quality,24
P0014,Fitness Band 14,Wearables,quality,22
P0015,Smart Ring 15,Wearables,battery,19
P0016,Air Purifier 16,Home Appliances,battery,24
P0017,Bluetooth Speaker 17,Audio,battery,31
P0018,Smart Ring 18,Wearables,battery,26
P0019,Fitness Watch 19,Watches,battery,33
P0020,Air Purifier 20,Home Appliances,battery,34
P0021,Wireless Earbuds 21,Audio,battery,22
P0022,Analog Watch 22,Watches,battery,27
P0023,Air Purifier 23,Home Appliances,battery,24
P0024,Fitness Band 24,Wearables,battery,23
P0025,Smart Watch 25,Watches,battery,24
P0026,Headphones 26,Audio,battery,25
P0027,Smart Ring 27,Wearables,quality,22
P0028,Fitness Band 28,Wearables,battery,26
P0029,Smart Light 29,Home Appliances,battery,30
P0030,Tablet 30,Mobile,battery,25
P0031,Fitness Band 31,Wearables,battery,23
P0032,Smartphone 32,Mobile,battery,31
P0033,Smart Watch 33,Watches,battery,27
P0034,Bluetooth Speaker 34,Audio,battery,23
P0035,Smartphone 35,Mobile,quality,25
P0036,Smart Watch 36,Watches,battery,27
P0037,Analog Watch 37,Watches,quality,29
P0038,Tablet 38,Mobile,battery,29
P0039,Bluetooth Speaker 39,Audio,battery,29
P0040,Analog Watch 40,Watches,battery,29
P0041,Headphones 41,Audio,battery,26
P0042,Smart Watch 42,Watches,battery,29
P0043,Tablet 43,Mobile,battery,27
P0044,Fitness Band 44,Wearables,quality,29
P0045,Smart Ring 45,Wearables,battery,29
P0046,Bluetooth Speaker 46,Audio,battery,29
P0047,Smart Fan 47,Home Appliances,battery,27
P0048,Smart Watch 48,Watches,battery,35
P0049,Smart Fan 49,Home Appliances,battery,27
P0050,Analog Watch 50,Watches,battery,24
P0051,Air Purifier 51,Home Appliances,battery,36
P0052,Bluetooth Speaker 52,Audio,battery,20
P0053,Tablet 53,Mobile,battery,24
P0054,Wireless Earbuds 54,Audio,quality,28
P0055,Smart Watch 55,Watches,battery,26
P0056,Analog Watch 56,Watches,quality,30
P0057,Headphones 57,Audio,quality,26
P0058,Bluetooth Speaker 58,Audio,battery,27
P0059,Air Purifier 59,Home Appliances,quality,27
P0060,Smartphone 60,Mobile,battery,19
P0061,Wireless Earbuds 61,Audio,battery,26
P0062,Tablet 62,Mobile,battery,18
P0063,Fitness Band 63,Wearables,battery,30
P0064,Fitness Band 64,Wearables,battery,21
P0065,Smart Ring 65,Wearables,battery,29
P0066,Smart Fan 66,Home Appliances,battery,27
P0067,Smart Fan 67,Home Appliances,quality,29
P0068,Headphones 68,Audio,battery,23
P0069,Headphones 69,Audio,battery,23
P0070,Smart Watch 70,Watches,battery,25
P0071,Smart Watch 71,Watches,quality,25
P0072,Smart Light 72,Home Appliances,battery,27
P0073,Smartphone 73,Mobile,battery,26
P0074,Smart Watch 74,Watches,battery,32
P0075,Fitness Watch 75,Watches,battery,28
P0076,Smart Fan 76,Home Appliances,battery,28
P0077,Fitness Watch 77,Watches,performance,25
P0078,Smart Ring 78,Wearables,quality,28
P0079,Smartphone 79,Mobile,battery,28
P0080,Wireless Earbuds 80,Audio,battery,29
P0081,Headphones 81,Audio,battery,24
P0082,Fitness Watch 82,Watches,battery,24
P0083,Air Purifier 83,Home Appliances,battery,29
P0084,Fitness Band 84,Wearables,battery,35
P0085,Fitness Band 85,Wearables,performance,28
P0086,Analog Watch 86,Watches,battery,23
P0087,Tablet 87,Mobile,battery,28
P0088,Air Purifier 88,Home Appliances,battery,28
P0089,Fitness Band 89,Wearables,battery,34
P0090,Smartphone 90,Mobile,battery,35
P0091,Tablet 91,Mobile,quality,30
P0092,Fitness Band 92,Wearables,battery,31
P0093,Tablet 93,Mobile,battery,31
P0094,Smart Ring 94,Wearables,performance,27
P0095,Analog Watch 95,Watches,battery,31
P0096,Smart Watch 96,Watches,battery,24
P0097,Fitness Watch 97,Watches,battery,37
P0098,Analog Watch 98,Watches,quality,24
P0099,Bluetooth Speaker 99,Audio,quality,30
P0100,Bluetooth Speaker 100,Audio,battery,24
P0101,Bluetooth Speaker 101,Audio,battery,26
P0102,Smart Light 102,Home Appliances,battery,25
P0103,Fitness Band 103,Wearables,quality,23
P0104,Smartphone 104,Mobile,battery,24
P0105,Fitness Watch 105,Watches,quality,29
P0106,Bluetooth Speaker 106,Audio,battery,28
P0107,Analog Watch 107,Watches,quality,31
P0108,Wireless Earbuds 108,Audio,battery,30
P0109,Smart Fan 109,Home Appliances,battery,31
P0110,Smart Ring 110,Wearables,battery,30
P0111,Smartphone 111,Mobile,quality,37
P0112,Smart Light 112,Home Appliances,battery,31
P0113,Smart Watch 113,Watches,quality,23
P0114,Smart Light 114,Home Appliances,battery,28
P0115,Air Purifier 115,Home Appliances,performance,24
P0116,Smart Fan 116,Home Appliances,battery,23
P0117,Smartphone 117,Mobile,battery,30
P0118,Bluetooth Speaker 118,Audio,battery,40
P0119,Wireless Earbuds 119,Audio,battery,28
P0120,Smart Light 120,Home Appliances,battery,27
P0121,Fitness Band 121,Wearables,battery,30
P0122,Smart Fan 122,Home Appliances,battery,22
P0123,Smart Watch 123,Watches,battery,28
P0124,Smart Ring 124,Wearables,battery,32
P0125,Air Purifier 125,Home Appliances,battery,29
P0126,Tablet 126,Mobile,battery,27
P0127,Smartphone 127,Mobile,quality,26
P0128,Smart Light 128,Home Appliances,battery,21
P0129,Air Purifier 129,Home Appliances,quality,24
P0130,Fitness Band 130,Wearables,battery,24
P0131,Smartphone 131,Mobile,battery,23
P0132,Fitness Band 132,Wearables,battery,27
P0133,Wireless Earbuds 133,Audio,quality,26
P0134,Smartphone 134,Mobile,performance,22
P0135,Smart Watch 135,Watches,battery,24
P0136,Tablet 136,Mobile,battery,29
P0137,Analog Watch 137,Watches,battery,32
P0138,Smart Fan 138,Home Appliances,battery,30
P0139,Analog Watch 139,Watches,battery,30
P0140,Smartphone 140,Mobile,battery,22
P0141,Wireless Earbuds 141,Audio,quality,26
P0142,Smart Fan 142,Home Appliances,battery,25
P0143,Headphones 143,Audio,battery,21
P0144,Smart Fan 144,Home Appliances,quality,24
P0145,Fitness Band 145,Wearables,battery,31
P0146,Air Purifier 146,Home Appliances,performance,23
P0147,Fitness Band 147,Wearables,quality,28
P0148,Analog Watch 148,Watches,battery,34
P0149,Fitness Watch 149,Watches,battery,27
P0150,Tablet 150,Mobile,battery,32
P0151,Smart Ring 151,Wearables,battery,27
P0152,Wireless Earbuds 152,Audio,quality,21
P0153,Fitness Band 153,Wearables,battery,24
P0154,Smart Fan 154,Home Appliances,quality,18
P0155,Tablet 155,Mobile,quality,34
P0156,Wireless Earbuds 156,Audio,battery,26
P0157,Smartphone 157,Mobile,battery,23
P0158,Smartphone 158,Mobile,battery,24
P0159,Analog Watch 159,Watches,quality,19
P0160,Smart Fan 160,Home Appliances,battery,26
P0161,Smartphone 161,Mobile,battery,18
P0162,Smart Light 162,Home Appliances,battery,26
P0163,Smart Ring 163,Wearables,quality,21
P0164,Smart Fan 164,Home Appliances,battery,31
P0165,Bluetooth Speaker 165,Audio,battery,27
P0166,Smart Ring 166,Wearables,battery,25
P0167,Fitness Watch 167,Watches,battery,27
P0168,Smart Ring 168,Wearables,battery,27
P0169,Analog Watch 169,Watches,quality,25
P0170,Tablet 170,Mobile,quality,19
P0171,Smart Watch 171,Watches,battery,23
P0172,Air Purifier 172,Home Appliances,battery,27
P0173,Smartphone 173,Mobile,battery,28
P0174,Tablet 174,Mobile,battery,28
P0175,Fitness Band 175,Wearables,battery,23
P0176,Smart Light 176,Home Appliances,battery,33
P0177,Wireless Earbuds 177,Audio,battery,23
P0178,Fitness Watch 178,Watches,battery,17
P0179,Fitness Band 179,Wearables,battery,30
P0180,Smart Light 180,Home Appliances,battery,20
P0181,Smart Light 181,Home Appliances,battery,24
P0182,Fitness Band 182,Wearables,battery,25
P0183,Wireless Earbuds 183,Audio,battery,26
P0184,Smart Ring 184,Wearables,quality,28
P0185,Smart Ring 185,Wearables,battery,32
P0186,Smart Ring 186,Wearables,battery,23
P0187,Bluetooth Speaker 187,Audio,battery,32
P0188,Headphones 188,Audio,battery,31
P0189,Smartphone 189,Mobile,battery,19
P0190,Smart Light 190,Home Appliances,quality,26
P0191,Headphones 191,Audio,battery,30
P0192,Bluetooth Speaker 192,Audio,battery,29
P0193,Fitness Band 193,Wearables,battery,21
P0194,Air Purifier 194,Home Appliances,battery,33
P0195,Fitness Band 195,Wearables,performance,20
P0196,Smart Ring 196,Wearables,battery,24
P0197,Fitness Band 197,Wearables,quality,24
P0198,Smart Ring 198,Wearables,battery,36
P0199,Smart Ring 199,Wearables,battery,31
P0200,Bluetooth Speaker 200,Audio,quality,32
P0201,Fitness Band 201,Wearables,battery,31
P0202,Fitness Watch 202,Watches,battery,27
P0203,Smart Light 203,Home Appliances,battery,25
P0204,Wireless Earbuds 204,Audio,quality,18
P0205,Tablet 205,Mobile,battery,21
P0206,Smartphone 206,Mobile,battery,26
P0207,Wireless Earbuds 207,Audio,battery,21
P0208,Fitness Watch 208,Watches,battery,27
P0209,Wireless Earbuds 209,Audio,quality,21
P0210,Tablet 210,Mobile,battery,33
P0211,Air Purifier 211,Home Appliances,battery,34
P0212,Smartphone 212,Mobile,quality,21
P0213,Wireless Earbuds 213,Audio,quality,27
P0214,Fitness Band 214,Wearables,battery,31
P0215,Smart Light 215,Home Appliances,battery,23
P0216,Headphones 216,Audio,battery,25
P0217,Fitness Watch 217,Watches,battery,32
P0218,Tablet 218,Mobile,battery,28
P0219,Smart Ring 219,Wearables,battery,36
P0220,Smart Ring 220,Wearables,battery,21
P0221,Tablet 221,Mobile,battery,27
P0222,Air Purifier 222,Home Appliances,quality,27
P0223,Smartphone 223,Mobile,quality,22
P0224,Air Purifier 224,Home Appliances,performance,19
P0225,Smart Fan 225,Home Appliances,quality,34
P0226,Bluetooth Speaker 226,Audio,quality,26
P0227,Smart Ring 227,Wearables,battery,24
P0228,Fitness Watch 228,Watches,battery,26
P0229,Smart Light 229,Home Appliances,delivery,19
P0230,Smart Watch 230,Watches,quality,22
P0231,Smartphone 231,Mobile,battery,21
P0232,Smart Ring 232,Wearables,battery,17
P0233,Air Purifier 233,Home Appliances,battery,21
P0234,Air Purifier 234,Home Appliances,battery,27
P0235,Smartphone 235,Mobile,battery,31
P0236,Fitness Band 236,Wearables,battery,21
P0237,Tablet 237,Mobile,battery,26
P0238,Air Purifier 238,Home Appliances,battery,18
P0239,Tablet 239,Mobile,battery,40
P0240,Tablet 240,Mobile,battery,26
P0241,Wireless Earbuds 241,Audio,battery,27
P0242,Smart Light 242,Home Appliances,quality,27
P0243,Bluetooth Speaker 243,Audio,quality,21
P0244,Air Purifier 244,Home Appliances,battery,30
P0245,Smart Ring 245,Wearables,battery,20
P0246,Fitness Watch 246,Watches,battery,23
P0247,Bluetooth Speaker 247,Audio,battery,19
P0248,Headphones 248,Audio,battery,26
P0249,Smart Light 249,Home Appliances,quality,19
P0250,Fitness Band 250,Wearables,battery,31
P0251,Fitness Band 251,Wearables,battery,18
P0252,Smartphone 252,Mobile,battery,27
P0253,Bluetooth Speaker 253,Audio,battery,25
P0254,Tablet 254,Mobile,battery,23
P0255,Bluetooth Speaker 255,Audio,battery,25
P0256,Smartphone 256,Mobile,battery,23
P0257,Analog Watch 257,Watches,battery,27
P0258,Smart Watch 258,Watches,battery,28
P0259,Smart Fan 259,Home Appliances,battery,29
P0260,Headphones 260,Audio,battery,27
P0261,Analog Watch 261,Watches,battery,25
P0262,Headphones 262,Audio,battery,23
P0263,Smart Light 263,Home Appliances,battery,34
P0264,Tablet 264,Mobile,battery,23
P0265,Smart Fan 265,Home Appliances,battery,25
