product_id,complaint_category,complaint_count,product_name,category,subcategory,demand_problem_score,demand_problem_category,product_pain_score
P0239,battery,40,Tablet 239,Mobile,Tablet,61.06,Moderate,100.0
P0118,battery,40,Bluetooth Speaker 118,Audio,Bluetooth Speaker,44.34,Low Demand + High Problem,100.0
P0341,battery,39,Smart Watch 341,Watches,Smart Watch,66.93,Moderate,97.5
P0473,battery,38,Analog Watch 473,Watches,Analog Watch,75.14,High Demand + High Problem,95.0
P0411,battery,38,Smart Fan 411,Home Appliances,Smart Fan,58.11,Moderate,95.0
P0276,battery,38,Fitness Watch 276,Watches,Fitness Watch,57.88,Moderate,95.0
P0111,quality,37,Smartphone 111,Mobile,Smartphone,67.48,High Demand + High Problem,92.5
P0477,battery,37,Fitness Watch 477,Watches,Fitness Watch,66.47,High Demand + High Problem,92.5
P0097,battery,37,Fitness Watch 97,Watches,Fitness Watch,45.42,Low Demand + High Problem,92.5
P0198,battery,36,Smart Ring 198,Wearables,Smart Ring,71.82,High Demand + High Problem,90.0
P0051,battery,36,Air Purifier 51,Home Appliances,Air Purifier,68.27,High Demand + High Problem,90.0
P0308,battery,36,Smart Watch 308,Watches,Smart Watch,64.13,Moderate,90.0
P0219,battery,36,Smart Ring 219,Wearables,Smart Ring,50.65,Low Demand + High Problem,90.0
P0275,battery,36,Tablet 275,Mobile,Tablet,46.77,Low Demand + High Problem,90.0
P0273,battery,35,Smart Ring 273,Wearables,Smart Ring,76.86,High Demand + High Problem,87.5
P0363,battery,35,Tablet 363,Mobile,Tablet,62.14,Moderate,87.5
P0348,battery,35,Analog Watch 348,Watches,Analog Watch,48.9,Low Demand + High Problem,87.5
P0484,battery,35,Bluetooth Speaker 484,Audio,Bluetooth Speaker,42.91,Low Demand + High Problem,87.5
P0048,battery,35,Smart Watch 48,Watches,Smart Watch,42.55,Low Demand + High Problem,87.5
P0090,battery,35,Smartphone 90,Mobile,Smartphone,40.21,Low Demand + High Problem,87.5
P0084,battery,35,Fitness Band 84,Wearables,Fitness Band,37.11,Low Demand + High Problem,87.5
P0225,quality,34,Smart Fan 225,Home Appliances,Smart Fan,72.85,High Demand + High Problem,85.0
P0263,battery,34,Smart Light 263,Home Appliances,Smart Light,70.47,High Demand + High Problem,85.0
P0020,battery,34,Air Purifier 20,Home Appliances,Air Purifier,64.51,High Demand + High Problem,85.0
P0211,battery,34,Air Purifier 211,Home Appliances,Air Purifier,62.77,Moderate,85.0
P0326,battery,34,Smart Watch 326,Watches,Smart Watch,62.16,High Demand + High Problem,85.0
P0155,quality,34,Tablet 155,Mobile,Tablet,59.26,Moderate,85.0
P0481,battery,34,Bluetooth Speaker 481,Audio,Bluetooth Speaker,56.46,Moderate,85.0
P0468,battery,34,Fitness Band 468,Wearables,Fitness Band,53.34,Moderate,85.0
P0148,battery,34,Analog Watch 148,Watches,Analog Watch,48.76,Low Demand + High Problem,85.0
P0496,battery,34,Fitness Band 496,Wearables,Fitness Band,44.73,Low Demand + High Problem,85.0
P0089,battery,34,Fitness Band 89,Wearables,Fitness Band,41.58,Low Demand + High Problem,85.0
P0419,battery,33,Fitness Band 419,Wearables,Fitness Band,76.83,High Demand + High Problem,82.5
P0293,battery,33,Smart Fan 293,Home Appliances,Smart Fan,76.51,High Demand + High Problem,82.5
P0492,battery,33,Smart Ring 492,Wearables,Smart Ring,74.93,High Demand + High Problem,82.5
P0372,battery,33,Smart Watch 372,Watches,Smart Watch,60.78,Moderate,82.5
P0305,battery,33,Fitness Band 305,Wearables,Fitness Band,48.85,Low Demand + High Problem,82.5
P0176,battery,33,Smart Light 176,Home Appliances,Smart Light,47.62,Low Demand + High Problem,82.5
P0194,battery,33,Air Purifier 194,Home Appliances,Air Purifier,47.47,Low Demand + High Problem,82.5
P0019,battery,33,Fitness Watch 19,Watches,Fitness Watch,41.05,Low Demand + High Problem,82.5
P0277,battery,33,Smartphone 277,Mobile,Smartphone,39.7,Low Demand + High Problem,82.5
P0210,battery,33,Tablet 210,Mobile,Tablet,37.01,Low Demand + High Problem,82.5
P0124,battery,32,Smart Ring 124,Wearables,Smart Ring,71.44,High Demand + High Problem,80.0
P0150,battery,32,Tablet 150,Mobile,Tablet,71.05,High Demand + High Problem,80.0
P0217,battery,32,Fitness Watch 217,Watches,Fitness Watch,69.85,High Demand + High Problem,80.0
P0200,quality,32,Bluetooth Speaker 200,Audio,Bluetooth Speaker,57.33,Moderate,80.0
P0343,battery,32,Tablet 343,Mobile,Tablet,43.06,Low Demand + High Problem,80.0
P0185,battery,32,Smart Ring 185,Wearables,Smart Ring,39.75,Low Demand + High Problem,80.0
P0187,battery,32,Bluetooth Speaker 187,Audio,Bluetooth Speaker,36.59,Low Demand + High Problem,80.0
P0137,battery,32,Analog Watch 137,Watches,Analog Watch,35.85,Low Demand + High Problem,80.0
P0074,battery,32,Smart Watch 74,Watches,Smart Watch,35.16,Low Demand + High Problem,80.0
P0235,battery,31,Smartphone 235,Mobile,Smartphone,78.93,High Demand + High Problem,77.5
P0338,battery,31,Wireless Earbuds 338,Audio,Wireless Earbuds,77.17,High Demand + High Problem,77.5
P0269,battery,31,Smartphone 269,Mobile,Smartphone,71.85,High Demand + High Problem,77.5
