product_id,product_name,category,complaint_category,complaint_count,problem_percentage
P0239,Tablet 239,Mobile,battery,40,38.46153846153847
P0118,Bluetooth Speaker 118,Audio,battery,40,33.61344537815126
P0341,Smart Watch 341,Watches,battery,39,31.70731707317073
P0473,Analog Watch 473,Watches,battery,38,36.89320388349515
P0276,Fitness Watch 276,Watches,battery,38,35.84905660377358
P0411,Smart Fan 411,Home Appliances,battery,38,38.38383838383838
P0097,Fitness Watch 97,Watches,battery,37,32.45614035087719
P0477,Fitness Watch 477,Watches,battery,37,37.37373737373738
P0111,Smartphone 111,Mobile,quality,37,32.45614035087719
P0219,Smart Ring 219,Wearables,battery,36,31.858407079646017
P0275,Tablet 275,Mobile,battery,36,30.76923076923077
P0198,Smart Ring 198,Wearables,battery,36,35.64356435643564
P0051,Air Purifier 51,Home Appliances,battery,36,33.9622641509434
P0308,Smart Watch 308,Watches,battery,36,32.432432432432435
P0273,Smart Ring 273,Wearables,battery,35,30.973451327433626
P0348,Analog Watch 348,Watches,battery,35,30.434782608695656
P0048,Smart Watch 48,Watches,battery,35,33.0188679245283
P0363,Tablet 363,Mobile,battery,35,34.31372549019608
P0090,Smartphone 90,Mobile,battery,35,32.407407407407405
P0084,Fitness Band 84,Wearables,battery,35,29.411764705882355
P0484,Bluetooth Speaker 484,Audio,battery,35,36.08247422680412
P0496,Fitness Band 496,Wearables,battery,34,30.630630630630627
P0155,Tablet 155,Mobile,quality,34,30.630630630630627
P0148,Analog Watch 148,Watches,battery,34,32.075471698113205
P0225,Smart Fan 225,Home Appliances,quality,34,32.075471698113205
P0020,Air Purifier 20,Home Appliances,battery,34,33.663366336633665
P0263,Smart Light 263,Home Appliances,battery,34,35.78947368421053
P0211,Air Purifier 211,Home Appliances,battery,34,31.19266055045872
P0468,Fitness Band 468,Wearables,battery,34,30.909090909090907
P0481,Bluetooth Speaker 481,Audio,battery,34,29.82456140350877
P0089,Fitness Band 89,Wearables,battery,34,31.48148148148148
P0326,Smart Watch 326,Watches,battery,34,33.33333333333333
P0210,Tablet 210,Mobile,battery,33,33.0
P0492,Smart Ring 492,Wearables,battery,33,32.67326732673268
P0176,Smart Light 176,Home Appliances,battery,33,32.35294117647059
P0372,Smart Watch 372,Watches,battery,33,29.464285714285715
P0277,Smartphone 277,Mobile,battery,33,35.483870967741936
P0293,Smart Fan 293,Home Appliances,battery,33,31.73076923076923
P0019,Fitness Watch 19,Watches,battery,33,25.581395348837212
P0419,Fitness Band 419,Wearables,battery,33,27.73109243697479
P0194,Air Purifier 194,Home Appliances,battery,33,33.6734693877551
P0305,Fitness Band 305,Wearables,battery,33,28.695652173913043
P0187,Bluetooth Speaker 187,Audio,battery,32,31.06796116504854
P0343,Tablet 343,Mobile,battery,32,28.07017543859649
P0217,Fitness Watch 217,Watches,battery,32,31.372549019607842
P0137,Analog Watch 137,Watches,battery,32,32.323232323232325
P0124,Smart Ring 124,Wearables,battery,32,31.372549019607842
P0074,Smart Watch 74,Watches,battery,32,28.82882882882883
P0150,Tablet 150,Mobile,battery,32,31.372549019607842
P0200,Bluetooth Speaker 200,Audio,quality,32,27.586206896551722
P0185,Smart Ring 185,Wearables,battery,32,28.57142857142857
P0338,Wireless Earbuds 338,Audio,battery,31,28.440366972477065
P0235,Smartphone 235,Mobile,battery,31,26.72413793103448
P0164,Smart Fan 164,Home Appliances,battery,31,30.392156862745097
P0426,Headphones 426,Audio,battery,31,34.44444444444444
P0250,Fitness Band 250,Wearables,battery,31,28.971962616822427
P0112,Smart Light 112,Home Appliances,battery,31,28.703703703703702
P0109,Smart Fan 109,Home Appliances,battery,31,35.22727272727273
P0032,Smartphone 32,Mobile,battery,31,28.703703703703702
P0214,Fitness Band 214,Wearables,battery,31,29.807692307692307
P0201,Fitness Band 201,Wearables,battery,31,27.67857142857143
P0145,Fitness Band 145,Wearables,battery,31,26.495726495726498
P0392,Wireless Earbuds 392,Audio,battery,31,31.958762886597935
P0294,Smart Ring 294,Wearables,battery,31,32.97872340425532
P0296,Headphones 296,Audio,battery,31,24.409448818897637
P0188,Headphones 188,Audio,battery,31,26.05042016806723
P0269,Smartphone 269,Mobile,battery,31,28.440366972477065
P0296,Headphones 296,Audio,quality,31,24.409448818897637
P0093,Tablet 93,Mobile,battery,31,28.703703703703702
P0095,Analog Watch 95,Watches,battery,31,30.097087378640776
P0017,Bluetooth Speaker 17,Audio,battery,31,28.440366972477065
P0387,Fitness Band 387,Wearables,battery,31,30.392156862745097
P0390,Smart Light 390,Home Appliances,battery,31,28.440366972477065
P0315,Bluetooth Speaker 315,Audio,battery,31,28.971962616822427
P0318,Bluetooth Speaker 318,Audio,battery,31,26.956521739130434
P0092,Fitness Band 92,Wearables,battery,31,28.18181818181818
P0199,Smart Ring 199,Wearables,battery,31,31.958762886597935
P0107,Analog Watch 107,Watches,quality,31,26.956521739130434
P0056,Analog Watch 56,Watches,quality,30,24.0
P0099,Bluetooth Speaker 99,Audio,quality,30,27.77777777777778
P0005,Air Purifier 5,Home Appliances,battery,30,27.027027027027028
P0337,Analog Watch 337,Watches,battery,30,26.08695652173913
