product_id,review_count,average_rating,Negative,Neutral,Positive,positive_percentage,neutral_percentage,negative_percentage,review_health_score,product_name,category,review_category
P0372,114,3.84,15,25,74,64.91,21.93,13.16,51.75,Smart Watch 372,Watches,Good
P0362,81,3.73,12,16,53,65.43,19.75,14.81,50.62,Bluetooth Speaker 362,Audio,Good
P0346,83,3.72,12,20,51,61.45,24.1,14.46,46.99,Smart Ring 346,Wearables,Good
P0217,79,3.72,7,22,50,63.29,27.85,8.86,54.43,Fitness Watch 217,Watches,Good
P0494,114,3.71,18,33,63,55.26,28.95,15.79,39.47,Fitness Watch 494,Watches,Good
P0031,99,3.71,17,23,59,59.6,23.23,17.17,42.42,Fitness Band 31,Wearables,Good
P0410,103,3.69,17,24,62,60.19,23.3,16.5,43.69,Analog Watch 410,Watches,Good
P0436,77,3.68,13,16,48,62.34,20.78,16.88,45.45,Wireless Earbuds 436,Audio,Good
P0348,96,3.68,14,26,56,58.33,27.08,14.58,43.75,Analog Watch 348,Watches,Good
P0373,95,3.68,14,20,61,64.21,21.05,14.74,49.47,Smartphone 373,Mobile,Good
P0257,115,3.68,18,33,64,55.65,28.7,15.65,40.0,Analog Watch 257,Watches,Good
P0063,87,3.67,11,25,51,58.62,28.74,12.64,45.98,Fitness Band 63,Wearables,Good
P0451,94,3.67,18,22,54,57.45,23.4,19.15,38.3,Bluetooth Speaker 451,Audio,Good
P0452,98,3.67,15,24,59,60.2,24.49,15.31,44.9,Bluetooth Speaker 452,Audio,Good
P0390,85,3.67,11,24,50,58.82,28.24,12.94,45.88,Smart Light 390,Home Appliances,Good
P0024,92,3.67,14,24,54,58.7,26.09,15.22,43.48,Fitness Band 24,Wearables,Good
P0052,96,3.66,17,22,57,59.38,22.92,17.71,41.67,Bluetooth Speaker 52,Audio,Good
P0139,92,3.66,11,24,57,61.96,26.09,11.96,50.0,Analog Watch 139,Watches,Good
P0434,89,3.66,13,25,51,57.3,28.09,14.61,42.7,Analog Watch 434,Watches,Good
P0386,95,3.66,18,13,64,67.37,13.68,18.95,48.42,Smart Fan 386,Home Appliances,Good
P0076,102,3.66,16,30,56,54.9,29.41,15.69,39.22,Smart Fan 76,Home Appliances,Good
P0087,113,3.65,17,31,65,57.52,27.43,15.04,42.48,Tablet 87,Mobile,Good
P0298,85,3.65,12,23,50,58.82,27.06,14.12,44.71,Smartphone 298,Mobile,Good
P0155,112,3.65,19,28,65,58.04,25.0,16.96,41.07,Tablet 155,Mobile,Good
P0146,93,3.65,12,33,48,51.61,35.48,12.9,38.71,Air Purifier 146,Home Appliances,Good
P0408,97,3.65,15,27,55,56.7,27.84,15.46,41.24,Smartphone 408,Mobile,Good
P0426,90,3.64,16,20,54,60.0,22.22,17.78,42.22,Headphones 426,Audio,Good
P0084,95,3.63,18,20,57,60.0,21.05,18.95,41.05,Fitness Band 84,Wearables,Good
P0232,75,3.63,9,24,42,56.0,32.0,12.0,44.0,Smart Ring 232,Wearables,Good
P0456,91,3.63,13,26,52,57.14,28.57,14.29,42.86,Bluetooth Speaker 456,Audio,Good
P0469,108,3.63,22,19,67,62.04,17.59,20.37,41.67,Smart Ring 469,Wearables,Good
P0422,114,3.63,17,35,62,54.39,30.7,14.91,39.47,Tablet 422,Mobile,Good
P0415,102,3.62,22,18,62,60.78,17.65,21.57,39.22,Fitness Band 415,Wearables,Good
P0133,104,3.62,16,24,64,61.54,23.08,15.38,46.15,Wireless Earbuds 133,Audio,Good
P0085,115,3.62,24,23,68,59.13,20.0,20.87,38.26,Fitness Band 85,Wearables,Good
P0180,81,3.62,16,17,48,59.26,20.99,19.75,39.51,Smart Light 180,Home Appliances,Good
P0216,99,3.61,18,25,56,56.57,25.25,18.18,38.38,Headphones 216,Audio,Good
P0479,89,3.61,16,26,47,52.81,29.21,17.98,34.83,Fitness Watch 479,Watches,Good
P0265,103,3.61,15,26,62,60.19,25.24,14.56,45.63,Smart Fan 265,Home Appliances,Good
P0357,88,3.61,12,29,47,53.41,32.95,13.64,39.77,Tablet 357,Mobile,Good
P0109,98,3.61,16,24,58,59.18,24.49,16.33,42.86,Smart Fan 109,Home Appliances,Good
P0326,93,3.61,14,24,55,59.14,25.81,15.05,44.09,Smart Watch 326,Watches,Good
P0409,93,3.6,19,18,56,60.22,19.35,20.43,39.78,Analog Watch 409,Watches,Good
P0423,96,3.6,18,25,53,55.21,26.04,18.75,36.46,Air Purifier 423,Home Appliances,Good
P0027,113,3.6,19,27,67,59.29,23.89,16.81,42.48,Smart Ring 27,Wearables,Good
P0368,84,3.6,18,19,47,55.95,22.62,21.43,34.52,Headphones 368,Audio,Good
P0254,102,3.6,19,25,58,56.86,24.51,18.63,38.24,Tablet 254,Mobile,Good
P0288,111,3.6,22,27,62,55.86,24.32,19.82,36.04,Smart Ring 288,Wearables,Good
P0253,93,3.6,19,20,54,58.06,21.51,20.43,37.63,Bluetooth Speaker 253,Audio,Good
P0486,91,3.6,19,21,51,56.04,23.08,20.88,35.16,Tablet 486,Mobile,Good
P0186,98,3.6,14,27,57,58.16,27.55,14.29,43.88,Smart Ring 186,Wearables,Good
P0039,102,3.6,18,28,56,54.9,27.45,17.65,37.25,Bluetooth Speaker 39,Audio,Good
P0004,106,3.59,20,23,63,59.43,21.7,18.87,40.57,Headphones 4,Audio,Good
P0080,97,3.59,18,22,57,58.76,22.68,18.56,40.21,Wireless Earbuds 80,Audio,Good
P0081,98,3.59,18,24,56,57.14,24.49,18.37,38.78,Headphones 81,Audio,Good
P0209,106,3.59,20,26,60,56.6,24.53,18.87,37.74,Wireless Earbuds 209,Audio,Good
P0218,94,3.59,13,28,53,56.38,29.79,13.83,42.55,Tablet 218,Mobile,Good
P0172,102,3.59,24,18,60,58.82,17.65,23.53,35.29,Air Purifier 172,Home Appliances,Good
P0016,98,3.59,22,16,60,61.22,16.33,22.45,38.78,Air Purifier 16,Home Appliances,Good
P0440,99,3.59,25,18,56,56.57,18.18,25.25,31.31,Fitness Band 440,Wearables,Good
P0156,103,3.59,16,31,56,54.37,30.1,15.53,38.83,Wireless Earbuds 156,Audio,Good
P0403,93,3.59,17,24,52,55.91,25.81,18.28,37.63,Smart Watch 403,Watches,Good
P0446,104,3.59,20,25,59,56.73,24.04,19.23,37.5,Tablet 446,Mobile,Good
