competitor_id,competitor_name,category,competitor_price,feature_count,market_rating,estimated_market_share,trend_score,market_region,sales_channel
COMP15209,Competitor_C,Audio,37597.21,5.0,4.7,6.3,68.9,Usa,Retail
COMP02996,Competitor_C,Audio,37305.4,3.0,3.8,14.6,87.03,Usa,Retail
COMP17147,Competitor_B,Audio,32324.66,6.0,3.1,6.77,28.71,Canada,Online
COMP17146,Competitor_D,Audio,18281.12,11.0,3.5,12.96,57.44,Germany,Online
COMP12310,Competitor_B,Audio,45273.55,8.0,4.3,8.47,88.72,Uk,Online
COMP03000,Competitor_A,Audio,19451.93,5.0,3.1,11.4,22.93,Uk,Online
COMP03001,Competitor_C,Audio,45401.84,12.0,3.3,4.2,88.79,Germany,Online
COMP12312,Competitor_A,Audio,7766.08,7.0,4.1,24.97,80.28,Canada,Retail
COMP17140,Competitor_E,Audio,28516.92,11.0,3.9,22.06,98.92,Uk,Online
COMP07974,Competitor_E,Audio,37226.33,5.0,4.4,9.63,41.63,Usa,Online
COMP03005,Competitor_A,Audio,32933.57,5.0,3.7,13.89,96.43,India,Online
COMP17139,Competitor_E,Audio,34333.49,5.0,3.9,22.58,60.01,Germany,Marketplace
COMP07972,Competitor_D,Audio,14081.09,10.0,3.4,8.07,73.94,Germany,Marketplace
COMP13696,Competitor_A,Audio,20710.11,5.0,3.0,8.01,63.12,Uk,Online
COMP17132,Competitor_A,Audio,17846.34,5.0,4.7,23.65,89.55,Japan,Retail
COMP06548,Competitor_C,Audio,26698.09,8.0,4.0,9.38,91.32,India,Marketplace
COMP03011,Competitor_B,Audio,46832.84,9.0,3.7,9.65,87.77,Uk,Retail
COMP07968,Competitor_B,Audio,21200.47,8.0,4.9,20.2,90.77,Usa,Online
COMP17129,Competitor_A,Audio,38294.79,10.0,4.8,16.18,20.72,Canada,Online
COMP13693,Competitor_A,Audio,22731.36,7.0,4.0,11.51,24.82,Japan,Online
COMP06552,Competitor_B,Audio,43149.84,9.0,4.5,19.17,29.1,Uk,Retail
COMP12320,Competitor_A,Audio,34236.76,5.0,4.6,17.45,57.12,Germany,Marketplace
COMP17124,Competitor_D,Audio,51610.26,6.0,3.0,15.46,63.92,Germany,Online
COMP17121,Competitor_E,Audio,2533.44,4.0,3.3,15.52,25.43,India,Marketplace
COMP07963,Competitor_E,Audio,38220.95,5.0,3.8,22.77,36.64,India,Online
COMP12322,Competitor_C,Audio,40182.09,3.0,3.4,16.7,99.98,Japan,Online
COMP17118,Competitor_B,Audio,55027.1,11.0,3.7,13.4,31.15,Usa,Marketplace
COMP17115,Competitor_E,Audio,23620.56,5.0,3.0,23.39,78.58,Germany,Retail
