customer_id,company_id,age_group,gender,location,income_segment,customer_segment,registration_date,loyalty_level
CUST00001,C002,36-45,Male,Germany,Medium,Budget Buyer,2020-04-12,New
CUST00002,C010,18-25,Male,USA,Medium,Value Seeker,2024-09-24,New
CUST00003,C009,56+,Female,Germany,Premium,Technology Enthusiast,2022-03-25,Loyal
CUST00004,C001,46-55,Female,Canada,Medium,Value Seeker,2021-10-15,Loyal
CUST00005,C002,46-55,Male,Japan,High,Technology Enthusiast,2021-01-14,Loyal
CUST00006,C001,56+,Male,Singapore,Low,Technology Enthusiast,2025-02-24,Loyal
CUST00007,C010,56+,Male,USA,Low,Value Seeker,2024-01-21,Loyal
CUST00008,C002,18-25,Female,Canada,Premium,Young Professional,2022-08-11,Regular
CUST00009,C006,26-35,Other,Canada,Low,Technology Enthusiast,2023-12-26,Regular
CUST00010,C009,26-35,Female,Singapore,High,Technology Enthusiast,2022-09-29,Regular
CUST00011,C006,26-35,Male,Japan,Premium,Young Professional,2020-08-17,New
CUST00012,C004,36-45,Male,South Korea,Premium,Premium Customer,2026-05-12,Regular
CUST00013,C005,26-35,Other,Canada,Premium,Technology Enthusiast,2021-07-25,VIP
CUST00014,C006,26-35,Other,South Korea,Low,Budget Buyer,2022-06-17,New
CUST00015,C003,46-55,Other,USA,Premium,Premium Customer,2021-10-17,VIP
CUST00016,C009,56+,Male,USA,High,Young Professional,2022-10-26,New
CUST00017,C005,26-35,Female,India,High,Technology Enthusiast,2024-11-15,Regular
CUST00018,C009,36-45,Other,Germany,Medium,Young Professional,2021-03-11,Regular
CUST00019,C009,18-25,Other,Japan,Premium,Budget Buyer,2025-12-12,New
CUST00020,C006,26-35,Male,Germany,Low,Budget Buyer,2023-06-13,VIP
CUST00021,C002,26-35,Male,South Korea,Medium,Young Professional,2025-12-21,VIP
CUST00022,C004,26-35,Other,Canada,Premium,Young Professional,2026-01-17,VIP
CUST00023,C009,18-25,Male,Germany,Low,Young Professional,2025-01-23,New
CUST00024,C010,26-35,Other,Germany,Low,Budget Buyer,2026-03-18,New
CUST00025,C004,18-25,Female,USA,Medium,Young Professional,2020-10-03,VIP
CUST00026,C004,26-35,Other,South Korea,Medium,Premium Customer,2026-01-17,VIP
CUST00027,C004,18-25,Other,Singapore,High,Premium Customer,2021-01-21,VIP
CUST00028,C008,18-25,Male,Singapore,High,Budget Buyer,2020-08-09,Regular
CUST00029,C004,56+,Female,UK,Premium,Value Seeker,2022-02-18,Loyal
CUST00030,C008,18-25,Female,USA,Low,Technology Enthusiast,2022-10-20,New
CUST00031,C002,26-35,Female,South Korea,Premium,Value Seeker,2022-08-26,VIP
CUST00032,C001,46-55,Male,Singapore,High,Premium Customer,2021-11-05,Loyal
CUST00033,C007,46-55,Male,Germany,High,Value Seeker,2026-03-26,New
CUST00034,C010,18-25,Other,Japan,Low,Budget Buyer,2026-01-29,VIP
CUST00035,C009,26-35,Male,USA,Medium,Budget Buyer,2025-12-15,New
CUST00036,C004,18-25,Other,Germany,Low,Technology Enthusiast,2024-07-11,New
CUST00037,C007,56+,Other,Japan,High,Value Seeker,2026-07-18,Loyal
CUST00038,C004,46-55,Male,Canada,Premium,Young Professional,2022-12-23,New
CUST00039,C001,56+,Other,USA,Low,Technology Enthusiast,2025-02-20,Regular
CUST00040,C009,26-35,Female,USA,Medium,Young Professional,2022-12-22,Loyal
CUST00041,C003,56+,Other,Canada,Low,Technology Enthusiast,2024-11-29,Loyal
CUST00042,C002,36-45,Male,USA,Medium,Young Professional,2021-07-04,Loyal
CUST00043,C010,36-45,Male,Canada,Premium,Young Professional,2022-05-12,New
CUST00044,C002,36-45,Male,India,High,Value Seeker,2024-09-30,Loyal
CUST00045,C003,56+,Other,Singapore,Low,Budget Buyer,2024-12-14,New
CUST00046,C003,18-25,Female,UK,Premium,Value Seeker,2026-02-12,New
CUST00047,C005,18-25,Female,Germany,Medium,Budget Buyer,2024-02-02,Loyal
CUST00048,C009,56+,Other,UK,Medium,Value Seeker,2024-07-22,Regular
