purchase_id,company_id,product_id,customer_id,purchase_date,quantity,unit_price,discount,channel,region
PUR011799,C009,P0422,CUST03230,2023-01-01,1.0,9006.6,0.15,Online,South
PUR030618,C002,P0086,CUST08165,2023-01-01,3.0,19042.4,0.2,Marketplace,Central
PUR014820,C002,P0066,CUST00143,2023-01-01,3.0,34122.4,0.2,Online,South
PUR086255,C002,P0073,CUST06859,2023-01-01,2.0,49685.0,0.0,Retail Store,West
PUR069027,C002,P0096,CUST03758,2023-01-01,1.0,32222.1,0.05,Marketplace,East
PUR071497,C007,P0327,CUST02434,2023-01-01,3.0,7529.3,0.15,Retail Store,West
PUR030613,C008,P0370,CUST06631,2023-01-01,1.0,7911.2,0.2,Online,Central
PUR080694,C001,P0010,CUST05756,2023-01-01,1.0,26410.35,0.15,Retail Store,East
PUR098080,C008,P0385,CUST04801,2023-01-01,3.0,38316.0,0.0,Online,West
PUR061227,C007,P0341,CUST05693,2023-01-01,2.0,16245.0,0.0,Online,North
PUR010301,C003,P0110,CUST00979,2023-01-01,3.0,5534.4,0.2,Retail Store,North
PUR001072,C001,P0015,CUST01803,2023-01-01,1.0,26416.8,0.2,Online,South
PUR018471,C007,P0328,CUST00175,2023-01-01,2.0,6628.15,0.05,Marketplace,East
PUR035533,C001,P0027,CUST09424,2023-01-01,1.0,32256.3,0.05,Marketplace,Central
PUR053614,C003,P0120,CUST09539,2023-01-01,2.0,8025.6,0.05,Marketplace,East
PUR042118,C006,P0291,CUST07909,2023-01-01,2.0,47621.0,0.0,Retail Store,East
PUR076221,C003,P0138,CUST03701,2023-01-01,1.0,6838.4,0.2,Retail Store,South
PUR091202,C007,P0341,CUST07049,2023-01-01,2.0,13808.25,0.15,Retail Store,East
PUR008635,C010,P0485,CUST02185,2023-01-01,3.0,5835.85,0.05,Online,East
PUR041062,C007,P0339,CUST07360,2023-01-01,2.0,15676.9,0.05,Retail Store,Central
PUR016126,C009,P0424,CUST08828,2023-01-01,3.0,44091.4,0.05,Marketplace,East
PUR003310,C007,P0306,CUST08197,2023-01-01,3.0,30277.85,0.15,Retail Store,South
PUR097210,C008,P0351,CUST03696,2023-01-01,2.0,7076.7,0.1,Marketplace,West
PUR091825,C001,P0032,CUST01801,2023-01-01,2.0,28230.2,0.05,Online,Central
PUR095648,C008,P0397,CUST01741,2023-01-01,2.0,22010.4,0.1,Marketplace,North
PUR089452,C001,P0044,CUST03887,2023-01-01,3.0,19895.2,0.2,Marketplace,South
PUR008141,C006,P0262,CUST06517,2023-01-01,2.0,1370.85,0.05,Retail Store,Central
PUR048409,C007,P0348,CUST03179,2023-01-01,2.0,12529.85,0.15,Retail Store,South
PUR066217,C002,P0051,CUST08702,2023-01-01,3.0,31450.0,0.0,Online,South
PUR099697,C008,P0379,CUST03893,2023-01-01,2.0,2401.2,0.1,Online,West
PUR076608,C003,P0143,CUST05020,2023-01-01,2.0,4653.75,0.15,Online,East
PUR056875,C001,P0039,CUST04468,2023-01-01,1.0,18216.0,0.2,Online,West
PUR000719,C006,P0252,CUST04230,2023-01-01,3.0,30367.2,0.2,Online,Central
PUR055031,C009,P0434,CUST02143,2023-01-01,3.0,39328.2,0.1,Retail Store,South
PUR035200,C002,P0067,CUST04235,2023-01-01,1.0,48908.0,0.0,Online,East
PUR050844,C001,P0002,CUST00148,2023-01-01,1.0,7140.0,0.0,Online,West
PUR028432,C002,P0079,CUST02915,2023-01-01,3.0,40952.0,0.0,Marketplace,North
PUR078528,C006,P0286,CUST00151,2023-01-01,1.0,40901.15,0.15,Retail Store,East
PUR038220,C009,P0446,CUST02212,2023-01-01,3.0,44123.7,0.05,Marketplace,East
