survey_id,company_id,customer_id,survey_date,satisfaction_score,preferred_feature,purchase_factor,improvement_area,would_recommend
SRV002037,C004,CUST05027,2023-01-01,,Better performance,Price,Design,No
SRV000666,C010,CUST07439,2023-01-01,2.0,Lower price,Features,Customer support,No
SRV007016,C008,CUST06532,2023-01-01,,Improved durability,Customer reviews,Price,Yes
SRV008674,C007,CUST06904,2023-01-01,,Longer battery life,Durability,Price,Yes
SRV008740,C002,CUST05455,2023-01-01,3.0,Longer battery life,Brand reputation,Design,No
SRV018157,C003,CUST09731,2023-01-01,,Lower price,Customer reviews,Price,Yes
SRV029250,C001,CUST08472,2023-01-01,1.0,Better software,Design,Comfort,No
SRV017155,C002,CUST08512,2023-01-01,,Improved durability,Price,Performance,Yes
SRV012556,C005,CUST05391,2023-01-01,,Improved durability,Performance,Battery life,Yes
SRV015067,C001,CUST05948,2023-01-01,,Lower price,Performance,Performance,Yes
SRV017097,C010,CUST04790,2023-01-01,,More smart features,Design,Performance,Yes
SRV008069,C010,CUST02986,2023-01-01,,Better design,Customer reviews,Design,No
SRV026816,C006,CUST03080,2023-01-01,5.0,Improved comfort,Design,Design,No
SRV013450,C002,CUST04561,2023-01-01,,More smart features,Price,Durability,Yes
SRV026592,C002,CUST01359,2023-01-01,2.0,More smart features,Brand reputation,Price,No
SRV024032,C007,CUST04922,2023-01-01,,Better software,Features,Design,No
SRV027588,C007,CUST09244,2023-01-01,,More smart features,Features,Customer support,Yes
SRV011343,C008,CUST07128,2023-01-01,,Improved durability,Design,Design,No
SRV018299,C007,CUST09570,2023-01-01,4.0,Better design,Customer reviews,Comfort,No
SRV020899,C007,CUST02645,2023-01-01,,Improved durability,Performance,Comfort,Yes
SRV010442,C001,CUST02358,2023-01-01,,Improved comfort,Customer reviews,Software,Yes
SRV025816,C010,CUST01739,2023-01-01,4.0,Longer battery life,Customer reviews,Comfort,No
SRV003996,C004,CUST06764,2023-01-01,5.0,Improved durability,Durability,Battery life,No
SRV003868,C010,CUST09066,2023-01-01,5.0,More smart features,Price,Price,No
SRV007607,C002,CUST00535,2023-01-01,,Better performance,Durability,Design,Yes
SRV025288,C005,CUST00772,2023-01-01,,Better software,Quality,Battery life,Yes
SRV007376,C004,CUST05233,2023-01-01,,Better performance,Features,Durability,Yes
SRV004969,C002,CUST00061,2023-01-01,5.0,Lower price,Price,Software,No
SRV019345,C006,CUST05518,2023-01-01,,Better design,Brand reputation,Software,Yes
SRV026898,C007,CUST03666,2023-01-01,,Improved durability,Brand reputation,Design,Yes
SRV021988,C002,CUST04124,2023-01-02,4.0,Better software,Design,Battery life,No
SRV006821,C008,CUST03113,2023-01-02,,Better performance,Brand reputation,Customer support,Yes
SRV021764,C003,CUST01557,2023-01-02,,More smart features,Design,Software,Yes
SRV010568,C004,CUST06349,2023-01-02,,Improved durability,Customer reviews,Comfort,Yes
SRV028211,C008,CUST03392,2023-01-02,,Lower price,Durability,Comfort,Yes
SRV005085,C002,CUST06772,2023-01-02,,Better software,Quality,Price,Yes
SRV019479,C001,CUST01751,2023-01-02,4.0,Improved comfort,Design,Software,No
SRV001035,C001,CUST01538,2023-01-02,1.0,Better software,Design,Design,No
SRV003468,C006,CUST08439,2023-01-02,1.0,Better software,Brand reputation,Customer support,No
SRV009749,C010,CUST02753,2023-01-02,2.0,Better software,Brand reputation,Design,No
SRV005366,C008,CUST05493,2023-01-02,1.0,Improved durability,Price,Performance,No
SRV007176,C003,CUST03903,2023-01-02,,Better software,Performance,Software,Yes
SRV022543,C007,CUST00174,2023-01-02,3.0,Lower price,Design,Design,No
SRV019876,C003,CUST04676,2023-01-02,,More smart features,Durability,Performance,Yes
SRV019395,C009,CUST05819,2023-01-02,5.0,Lower price,Price,Comfort,No
SRV017798,C007,CUST05651,2023-01-02,,Longer battery life,Customer reviews,Software,Yes
SRV023625,C007,CUST08534,2023-01-02,5.0,Longer battery life,Features,Price,No
SRV012101,C009,CUST00516,2023-01-02,3.0,Lower price,Durability,Customer support,No
SRV003820,C006,CUST01873,2023-01-02,,Better software,Design,Battery life,Yes
SRV014840,C004,CUST07772,2023-01-02,5.0,Better design,Durability,Performance,No
SRV008216,C003,CUST02824,2023-01-02,3.0,More smart features,Brand reputation,Price,No
SRV006707,C010,CUST07874,2023-01-02,,Improved comfort,Performance,Comfort,Yes
SRV021081,C009,CUST06504,2023-01-02,1.0,Improved comfort,Customer reviews,Price,No
SRV003357,C005,CUST00067,2023-01-02,3.0,Longer battery life,Design,Design,No
SRV002243,C006,CUST05295,2023-01-02,5.0,Improved durability,Customer reviews,Software,No
SRV021877,C005,CUST04495,2023-01-03,1.0,Better software,Brand reputation,Design,No
SRV025367,C002,CUST08619,2023-01-03,2.0,More smart features,Features,Durability,No
SRV028354,C003,CUST07081,2023-01-03,,Better performance,Design,Price,Yes
SRV016393,C010,CUST02675,2023-01-03,4.0,More smart features,Design,Durability,No
SRV003001,C004,CUST01657,2023-01-03,4.0,More smart features,Brand reputation,Customer support,No
SRV019180,C003,CUST07622,2023-01-03,3.0,Better design,Features,Battery life,No
SRV012037,C001,CUST07910,2023-01-03,4.0,Better software,Features,Design,No
SRV005812,C002,CUST03395,2023-01-03,,Better design,Brand reputation,Software,Yes
SRV017129,C002,CUST06323,2023-01-03,2.0,Improved comfort,Price,Performance,No
SRV013169,C010,CUST02897,2023-01-03,4.0,Improved comfort,Design,Battery life,No
SRV010758,C007,CUST08353,2023-01-03,,Improved durability,Design,Price,Yes
SRV010211,C005,CUST01479,2023-01-03,3.0,Better design,Brand reputation,Customer support,No
SRV014232,C007,CUST03846,2023-01-03,2.0,Longer battery life,Customer reviews,Customer support,No
SRV001086,C006,CUST08919,2023-01-03,2.0,Better software,Performance,Battery life,No
SRV010685,C003,CUST06462,2023-01-03,,Better software,Performance,Design,Yes
SRV008539,C010,CUST02236,2023-01-03,,More smart features,Price,Durability,Yes
SRV015539,C010,CUST01225,2023-01-03,3.0,More smart features,Features,Price,No
SRV012253,C010,CUST00703,2023-01-03,,Improved durability,Quality,Comfort,Yes
SRV021441,C004,CUST06482,2023-01-03,2.0,Improved durability,Quality,Software,No
SRV017887,C002,CUST07019,2023-01-03,3.0,Longer battery life,Design,Price,No
SRV009561,C005,CUST04107,2023-01-03,,Improved durability,Customer reviews,Customer support,Yes
SRV029045,C004,CUST02535,2023-01-03,5.0,Better design,Price,Comfort,No
SRV029754,C002,CUST02154,2023-01-03,,Better software,Brand reputation,Performance,Yes
SRV024177,C001,CUST07124,2023-01-03,4.0,Better software,Durability,Battery life,No
SRV024134,C010,CUST00149,2023-01-03,4.0,Better performance,Performance,Customer support,No
SRV021039,C010,CUST03132,2023-01-04,,Better design,Customer reviews,Battery life,Yes
SRV026532,C003,CUST01868,2023-01-04,1.0,More smart features,Features,Software,No
SRV003159,C007,CUST02153,2023-01-04,,More smart features,Quality,Durability,Yes
SRV008394,C007,CUST00787,2023-01-04,,Longer battery life,Durability,Customer support,Yes
SRV025780,C003,CUST01104,2023-01-04,5.0,Better performance,Quality,Performance,No
SRV016425,C002,CUST06692,2023-01-04,3.0,More smart features,Brand reputation,Software,No
SRV002324,C008,CUST04457,2023-01-04,,Longer battery life,Price,Price,Yes
SRV012878,C008,CUST08990,2023-01-04,1.0,Better software,Durability,Comfort,No
SRV013759,C006,CUST09535,2023-01-04,,Improved durability,Price,Design,No
SRV004932,C003,CUST05216,2023-01-04,,Improved durability,Durability,Software,Yes
SRV004835,C010,CUST05639,2023-01-04,2.0,Better design,Brand reputation,Comfort,No
SRV022913,C002,CUST00795,2023-01-04,1.0,Improved comfort,Brand reputation,Design,No
SRV001541,C003,CUST04043,2023-01-04,5.0,Longer battery life,Features,Durability,No
SRV028964,C002,CUST02486,2023-01-04,,Better performance,Customer reviews,Customer support,Yes
SRV016973,C008,CUST09205,2023-01-04,,Better performance,Durability,Software,Yes
SRV013729,C008,CUST06486,2023-01-04,,Improved durability,Brand reputation,Durability,Yes
SRV026911,C004,CUST03094,2023-01-04,2.0,Better performance,Durability,Software,No
SRV019468,C001,CUST05894,2023-01-04,3.0,Lower price,Features,Customer support,No
SRV026862,C002,CUST07031,2023-01-04,,Lower price,Performance,Price,Yes
SRV011083,C002,CUST08626,2023-01-04,,Improved comfort,Features,Performance,Yes
SRV023994,C006,CUST02614,2023-01-04,,Lower price,Performance,Price,Yes
SRV008817,C010,CUST01288,2023-01-04,4.0,Better design,Design,Performance,No
SRV012882,C006,CUST07318,2023-01-05,4.0,Better performance,Design,Battery life,No
SRV020998,C006,CUST00301,2023-01-05,5.0,Improved comfort,Durability,Customer support,No
SRV009327,C007,CUST02657,2023-01-05,,Longer battery life,Performance,Battery life,No
SRV021360,C007,CUST00059,2023-01-05,1.0,Longer battery life,Brand reputation,Design,No
SRV013576,C004,CUST01248,2023-01-05,,Better software,Durability,Software,Yes
SRV021824,C006,CUST08782,2023-01-05,1.0,Better design,Quality,Price,No
SRV015920,C006,CUST08494,2023-01-05,,Better software,Features,Customer support,Yes
SRV013970,C006,CUST08189,2023-01-05,3.0,Lower price,Performance,Price,No
SRV007939,C003,CUST09978,2023-01-05,,Better performance,Features,Software,Yes
SRV020169,C004,CUST05170,2023-01-05,,Lower price,Durability,Software,Yes
SRV021512,C008,CUST09939,2023-01-05,1.0,Longer battery life,Features,Comfort,No
SRV029350,C002,CUST04522,2023-01-05,,More smart features,Price,Design,Yes
SRV021092,C006,CUST04231,2023-01-05,,More smart features,Durability,Customer support,No
SRV020901,C010,CUST00521,2023-01-05,,Better software,Brand reputation,Price,Yes
SRV003945,C009,CUST08442,2023-01-05,,Better performance,Durability,Performance,Yes
SRV026733,C001,CUST00744,2023-01-05,2.0,More smart features,Features,Performance,No
SRV012539,C006,CUST07286,2023-01-05,1.0,Better performance,Performance,Battery life,No
SRV025785,C001,CUST08275,2023-01-05,,Better performance,Features,Battery life,Yes
SRV002894,C005,CUST06608,2023-01-05,,Improved comfort,Quality,Design,Yes
SRV012286,C007,CUST05560,2023-01-05,,Better performance,Brand reputation,Customer support,Yes
