purchase_id,company_id,product_id,customer_id,purchase_date,quantity,unit_price,discount,channel,region
PUR000001,C008,P0378,CUST03494,2024-05-16,1,12009.6,0.1,Online,South
PUR000002,C008,P0376,CUST00141,2023-06-28,3,12240.0,0.2,Marketplace,West
PUR000003,C009,P0413,CUST04508,2024-04-21,1,11170.1,0.05,Marketplace,Central
PUR000004,C008,P0391,CUST06822,2025-05-09,1,7814.4,0.2,Online,West
PUR000005,C010,P0459,CUST05989,2025-05-15,1,3635.65,0.05,Retail Store,East
PUR000006,C010,P0482,CUST01443,2023-07-09,2,27144.0,0.0,Retail Store,North
PUR000007,C007,P0306,CUST09629,2024-06-25,2,28496.8,0.2,Online,West
PUR000008,C004,P0198,CUST00318,2024-08-23,2,32122.0,0.0,Marketplace,Central
PUR000009,C009,P0409,CUST07517,2024-01-29,2,24088.0,0.2,Marketplace,North
PUR000010,C001,P0013,CUST02147,2023-06-13,1,38705.4,0.1,Online,North
PUR000011,C004,P0195,CUST01727,2023-11-30,2,8488.8,0.1,Retail Store,East
PUR000012,C010,P0461,CUST01008,2023-12-17,2,40749.0,0.0,Marketplace,South
PUR000013,C002,P0060,CUST02163,2024-03-25,2,28639.8,0.1,Marketplace,East
PUR000014,C007,P0310,CUST04069,2023-03-07,1,20260.65,0.05,Retail Store,West
PUR000015,C006,P0264,CUST09183,2024-10-06,1,39328.0,0.2,Online,West
PUR000016,C003,P0135,CUST04556,2023-10-20,3,22867.55,0.15,Retail Store,South
PUR000017,C009,P0410,CUST06082,2024-06-22,3,22418.4,0.2,Marketplace,Central
PUR000018,C009,P0422,CUST00381,2025-01-11,3,9006.6,0.15,Online,South
PUR000019,C003,P0120,CUST08475,2023-08-13,1,8448.0,0.0,Online,South
PUR000020,C003,P0114,CUST06511,2023-05-11,2,5991.2,0.2,Retail Store,West
PUR000021,C002,P0076,CUST08325,2023-01-24,3,20995.2,0.1,Marketplace,North
PUR000022,C001,P0032,CUST06602,2024-11-27,3,26744.4,0.1,Online,East
