competitor_id,competitor_name,category,competitor_price,feature_count,market_rating,estimated_market_share,trend_score,market_region,sales_channel
COMP00001,Competitor_A,Wearables,21974.05,7,3.5,5.21,28.2,Canada,Marketplace
COMP00002,Competitor_E,Wearables,32223.28,3,3.2,7.35,68.16,Japan,Online
COMP00003,Competitor_E,Mobile,39532.56,10,4.2,20.62,20.52,USA,Marketplace
COMP00004,Competitor_C,Audio,45597.79,6,4.9,9.74,27.42,India,Retail
COMP00005,Competitor_C,Mobile,48272.14,3,4.5,14.33,97.85,Germany,Online
COMP00006,Competitor_C,Mobile,12337.94,12,4.8,10.32,35.38,India,Online
COMP00007,Competitor_B,Watches,34694.0,4,4.7,21.93,50.41,Germany,Marketplace
COMP00008,Competitor_C,Wearables,35581.08,8,3.4,8.14,94.93,Canada,Online
COMP00009,Competitor_B,Watches,48270.26,6,3.3,10.73,99.16,Canada,Marketplace
COMP00010,Competitor_B,Watches,13585.64,3,3.5,2.74,45.24,UK,Online
COMP00011,Competitor_E,Mobile,54468.61,8,3.4,13.48,90.77,Canada,Retail
COMP00012,Competitor_C,Wearables,5101.05,11,4.1,19.18,54.27,Japan,Retail
COMP00013,Competitor_B,Home Appliances,27848.41,5,4.0,4.09,23.77,India,Online
COMP00014,Competitor_B,Watches,19031.77,9,4.2,10.85,67.67,Germany,Marketplace
COMP00015,Competitor_E,Mobile,54674.68,3,4.4,4.63,90.78,UK,Marketplace
COMP00016,Competitor_A,Mobile,46191.09,5,3.9,23.94,90.07,UK,Marketplace
COMP00017,Competitor_B,Wearables,18562.17,4,4.7,8.86,71.12,Japan,Online
COMP00018,Competitor_C,Wearables,40999.68,11,4.9,23.22,93.48,Japan,Retail
COMP00019,Competitor_A,Audio,22882.65,8,4.8,21.13,44.6,India,Online
COMP00020,Competitor_E,Mobile,8010.52,4,4.5,20.77,98.24,Japan,Online
COMP00021,Competitor_D,Wearables,64940.6,5,3.5,22.07,53.85,USA,Marketplace
COMP00022,Competitor_B,Wearables,35890.17,9,5.0,16.95,55.05,Japan,Retail
COMP00023,Competitor_B,Wearables,39244.35,8,3.0,14.74,67.08,India,Online
COMP00024,Competitor_A,Wearables,21142.36,3,4.7,3.63,39.04,Canada,Retail
COMP00025,Competitor_E,Mobile,26430.91,12,4.2,7.59,57.84,Germany,Online
COMP00026,Competitor_A,Audio,25785.01,8,3.8,12.74,78.33,Canada,Marketplace
COMP00027,Competitor_A,Audio,17827.74,8,4.6,4.51,35.33,Japan,Retail
COMP00028,Competitor_D,Wearables,27627.9,10,3.5,23.24,55.45,Japan,Online
